index,name,surname,initials,age,dateOfBirth
0,Frik,Dyer,F,46,1972/11/15
1,"Garret Pieter",Ellis,GP,21,1997/09/05
2,Shahmir,Fuentes,S,40,1978/12/14
3,Frik,Edwards,F,24,1994/01/28
4,Peter,Fulton,P,9,2009/04/23
5,"Pieter Andre",Eaton,PA,27,1991/03/26
6,Susan,Ellison,S,16,2002/11/13
7,Miena,Durham,M,12,2006/07/04
8,Shai,Ellison,S,42,1976/12/07
9,Maria,"Van Zyl",M,20,1998/03/07
10,Frik,Gallagher,F,38,1980/01/19
11,Santie,Duran,S,3,2015/04/12
12,Shadow,Gallagher,S,35,1983/01/16
13,Freddie,Fuller,F,43,1975/02/26
14,Aron-James,Emerson,A,22,1996/09/15
15,Aron-James,Duran,A,23,1995/06/17
16,Frik,Durham,F,29,1989/08/19
17,jaco,Emerson,j,9,2009/02/20
18,"Garret Pieter",Fuller,GP,44,1974/05/07
19,Freddie,Galloway,F,47,1971/07/30
20,Ben,Duran,B,32,1986/01/29
21,Shai,Gallegos,S,46,1972/01/02
22,Frik,Fulton,F,38,1980/11/18
23,Shahmir,Gallagher,S,10,2008/12/14
24,Jan,Elliott,J,32,1986/09/10
25,Freddie,Galloway,F,6,2012/06/02
26,"Garret Pieter",Edwards,GP,45,1973/02/04
27,Riaan,Galloway,R,33,1985/11/20
28,Shai,Emerson,S,15,2003/08/28
29,Ben,Gallegos,B,30,1988/01/27
30,"Pieter Andre",Harold,PA,42,1976/12/03
31,Susan,England,S,47,1971/05/17
32,Shai,Gamble,S,1,2017/09/17
33,Santie,Emerson,S,20,1998/02/22
34,Freddie,Duran,F,33,1985/12/22
35,Shai,Galloway,S,16,2002/02/12
36,Frik,Gallagher,F,20,1998/11/07
37,Santie,Ellison,S,43,1975/03/19
38,Shane,Harold,S,40,1978/11/09
39,Santie,Edwards,S,33,1985/07/03
40,Shane,Gamble,S,3,2015/12/20
41,Shai,Edwards,S,31,1987/10/18
42,Jan,Gallegos,J,19,1999/07/08
43,Miena,Durham,M,4,2014/09/20
44,jaco,Durham,j,34,1984/01/11
45,Peter,Edwards,P,8,2010/12/03
46,Riaan,Fuller,R,26,1992/10/09
47,"Pieter Andre",Eaton,PA,46,1972/06/30
48,Freddie,"Van Zyl",F,19,1999/10/13
49,Maria,Gamble,M,5,2013/11/28
50,Maria,Edwards,M,30,1988/02/17
51,Frik,Fulton,F,21,1997/09/06
52,Shahmir,Eaton,S,43,1975/05/05
53,Aaron,Duran,A,0,2018/12/21
54,Aron-James,Fulton,A,34,1984/05/22
55,Riaan,Eaton,R,1,2017/05/07
56,Miena,Duran,M,41,1977/04/29
57,Riaan,Edwards,R,13,2005/09/15
58,"Garret Pieter",Gaines,GP,19,1999/09/08
59,Riaan,Duran,R,6,2012/01/14
60,Ben,Galloway,B,2,2016/09/14
61,Shae,Galloway,S,12,2006/08/24
62,Shadow,Galloway,S,33,1985/08/24
63,Jan,Edwards,J,37,1981/10/21
64,Miena,Duran,M,17,2001/05/06
65,Shai,Emerson,S,13,2005/01/15
66,Miena,Edwards,M,4,2014/11/27
67,"Garret Pieter",Elliott,GP,34,1984/04/12
68,Aron-James,Harold,A,27,1991/11/02
69,Shae,Duran,S,12,2006/06/01
70,Riaan,Durham,R,4,2014/05/02
71,Peter,Duran,P,10,2008/02/22
72,Miena,Ellis,M,29,1989/09/18
73,Maria,Fulton,M,46,1972/08/09
74,Maria,Gamble,M,38,1980/11/13
75,"Garret Pieter",Ellis,GP,4,2014/08/04
76,Aron-James,"Van Zyl",A,32,1986/01/24
77,jaco,Galloway,j,1,2017/02/04
78,Shahmir,Ellis,S,44,1974/09/15
79,Shahmir,Ellison,S,12,2006/06/17
80,Jan,Fuentes,J,36,1982/03/05
81,Aaron,Harold,A,28,1990/04/17
82,"Pieter Andre",Ellison,PA,12,2006/06/28
83,Peter,Duran,P,22,1996/03/07
84,"Pieter Andre",Ellis,PA,40,1978/07/28
85,Jan,"Van Zyl",J,26,1992/11/01
86,Freddie,Elliott,F,41,1977/02/02
87,Freddie,Durham,F,34,1984/04/23
88,Aron-James,Eaton,A,11,2007/02/07
89,Frik,Ellison,F,15,2003/05/07
90,Peter,Ellis,P,8,2010/08/20
91,Frik,Harold,F,1,2017/04/06
92,Riaan,Durham,R,0,2018/02/05
93,"Garret Pieter",Gallegos,GP,31,1987/01/28
94,Shai,Gamble,S,30,1988/06/09
95,Freddie,Eaton,F,16,2002/11/10
96,Frik,"Van Zyl",F,41,1977/08/03
97,jaco,"Van Zyl",j,41,1977/07/05
98,Freddie,Fuller,F,13,2005/03/28
99,jaco,Emerson,j,7,2011/08/16
100,Maria,Harold,M,14,2004/05/20
101,"Pieter Andre",Gaines,PA,8,2010/03/28
102,Santie,Galloway,S,39,1979/11/10
103,Shane,Durham,S,38,1980/02/10
104,Ben,Gamble,B,42,1976/01/18
